Date,ship-state,Daily_Demand
2022-06-06,Gujarat,39
2022-06-06,HARYANA,36
2022-06-06,HIMACHAL PRADESH,6
2022-06-06,JAMMU & KASHMIR,6
2022-06-06,JHARKHAND,11
2022-06-06,KARNATAKA,163
2022-06-06,KERALA,48
2022-06-06,LADAKH,1
2022-06-06,LAKSHADWEEP,1
2022-06-06,MADHYA PRADESH,30
2022-06-06,MAHARASHTRA,198
2022-06-06,MANIPUR,3
2022-06-06,MEGHALAYA,4
2022-06-06,NAGALAND,4
2022-06-06,New Delhi,1
2022-06-06,ODISHA,21
2022-06-06,PUDUCHERRY,3
2022-06-06,PUNJAB,14
2022-06-06,Punjab,2
2022-06-06,RAJASTHAN,20
2022-06-06,Rajasthan,1
2022-06-06,SIKKIM,4
2022-06-06,TAMIL NADU,128
2022-06-06,TELANGANA,102
2022-06-06,TRIPURA,1
2022-06-06,UTTAR PRADESH,86
2022-06-06,UTTARAKHAND,11
2022-06-06,WEST BENGAL,43
2022-06-07,ANDAMAN & NICOBAR,1
2022-06-07,ANDHRA PRADESH,50
2022-06-07,ARUNACHAL PRADESH,1
2022-06-07,ASSAM,14
2022-06-07,BIHAR,15
2022-06-07,CHHATTISGARH,6
2022-06-07,DADRA AND NAGAR,1
2022-06-07,DELHI,56
2022-06-07,Delhi,1
2022-06-07,GOA,9
2022-06-07,Goa,1
2022-06-07,Gujarat,36
2022-06-07,HARYANA,44
2022-06-07,HIMACHAL PRADESH,8
2022-06-07,JAMMU & KASHMIR,10
2022-06-07,JHARKHAND,8
2022-06-07,KARNATAKA,169
2022-06-07,KERALA,48
2022-06-07,LADAKH,1
2022-06-07,MADHYA PRADESH,20
2022-06-07,MAHARASHTRA,191
2022-06-07,MANIPUR,1
2022-06-07,MEGHALAYA,1
2022-06-07,ODISHA,28
2022-06-07,PUNJAB,17
2022-06-07,RAJASTHAN,23
2022-06-07,Rajasthan,1
2022-06-07,SIKKIM,2
2022-06-07,TAMIL NADU,118
2022-06-07,TELANGANA,102
2022-06-07,TRIPURA,1
2022-06-07,UTTAR PRADESH,97
2022-06-07,UTTARAKHAND,11
2022-06-07,WEST BENGAL,33
2022-06-08,ANDAMAN & NICOBAR,2
2022-06-08,ANDHRA PRADESH,49
2022-06-08,ASSAM,9
2022-06-08,BIHAR,23
2022-06-08,CHANDIGARH,2
2022-06-08,CHHATTISGARH,8
2022-06-08,DELHI,44
2022-06-08,Delhi,1
2022-06-08,GOA,10
2022-06-08,Goa,1
2022-06-08,Gujarat,47
2022-06-08,HARYANA,42
2022-06-08,HIMACHAL PRADESH,5
2022-06-08,JAMMU & KASHMIR,4
2022-06-08,JHARKHAND,11
2022-06-08,KARNATAKA,185
2022-06-08,KERALA,45
2022-06-08,MADHYA PRADESH,23
2022-06-08,MAHARASHTRA,197
2022-06-08,MANIPUR,4
2022-06-08,MEGHALAYA,1
2022-06-08,MIZORAM,1
2022-06-08,NAGALAND,2
2022-06-08,New Delhi,1
2022-06-08,ODISHA,21
2022-06-08,Orissa,1
2022-06-08,PUDUCHERRY,8
2022-06-08,PUNJAB,16
2022-06-08,RAJASTHAN,27
2022-06-08,SIKKIM,6
2022-06-08,TAMIL NADU,103
2022-06-08,TELANGANA,94
2022-06-08,TRIPURA,1
2022-06-08,UTTAR PRADESH,95
2022-06-08,UTTARAKHAND,18
2022-06-08,WEST BENGAL,48
2022-06-09,ANDAMAN & NICOBAR,3
2022-06-09,ANDHRA PRADESH,46
2022-06-09,ARUNACHAL PRADESH,3
2022-06-09,ASSAM,16
2022-06-09,BIHAR,14
2022-06-09,CHANDIGARH,3
2022-06-09,CHHATTISGARH,10
2022-06-09,DELHI,55
2022-06-09,Delhi,2
2022-06-09,GOA,9
2022-06-09,Goa,1
2022-06-09,Gujarat,34
2022-06-09,HARYANA,46
2022-06-09,HIMACHAL PRADESH,5
2022-06-09,JAMMU & KASHMIR,5
2022-06-09,JHARKHAND,13
2022-06-09,KARNATAKA,173
2022-06-09,KERALA,51
2022-06-09,MADHYA PRADESH,23
2022-06-09,MAHARASHTRA,201
2022-06-09,MANIPUR,2
2022-06-09,MEGHALAYA,1
2022-06-09,MIZORAM,1
2022-06-09,NAGALAND,1
2022-06-09,ODISHA,27
2022-06-09,PUDUCHERRY,1
2022-06-09,PUNJAB,12
2022-06-09,RAJASTHAN,16
2022-06-09,SIKKIM,2
2022-06-09,Sikkim,1
2022-06-09,TAMIL NADU,94
2022-06-09,TELANGANA,120
2022-06-09,TRIPURA,1
2022-06-09,UTTAR PRADESH,90
2022-06-09,UTTARAKHAND,19
2022-06-09,WEST BENGAL,52
2022-06-10,ANDAMAN & NICOBAR,1
2022-06-10,ANDHRA PRADESH,34
2022-06-10,ARUNACHAL PRADESH,1
2022-06-10,ASSAM,9
2022-06-10,BIHAR,14
2022-06-10,Bihar,2
2022-06-10,CHANDIGARH,5
2022-06-10,CHHATTISGARH,5
2022-06-10,DADRA AND NAGAR,2
2022-06-10,DELHI,57
2022-06-10,Delhi,1
2022-06-10,GOA,10
2022-06-10,Gujarat,34
2022-06-10,HARYANA,31
2022-06-10,HIMACHAL PRADESH,4
2022-06-10,JAMMU & KASHMIR,5
2022-06-10,JHARKHAND,9
2022-06-10,KARNATAKA,133
2022-06-10,KERALA,49
2022-06-10,MADHYA PRADESH,19
2022-06-10,MAHARASHTRA,158
2022-06-10,MANIPUR,2
2022-06-10,MEGHALAYA,1
2022-06-10,MIZORAM,1
2022-06-10,ODISHA,21
2022-06-10,Odisha,2
2022-06-10,PUNJAB,13
2022-06-10,Punjab,1
2022-06-10,RAJASTHAN,22
2022-06-10,SIKKIM,4
2022-06-10,TAMIL NADU,80
2022-06-10,TELANGANA,103
2022-06-10,TRIPURA,1
2022-06-10,UTTAR PRADESH,65
2022-06-10,UTTARAKHAND,12
2022-06-10,WEST BENGAL,39
2022-06-11,ANDAMAN & NICOBAR,2
2022-06-11,ANDHRA PRADESH,48
2022-06-11,ARUNACHAL PRADESH,2
2022-06-11,ASSAM,7
2022-06-11,BIHAR,17
2022-06-11,CHANDIGARH,5
2022-06-11,CHHATTISGARH,8
2022-06-11,DELHI,45
2022-06-11,Delhi,3
2022-06-11,GOA,6
2022-06-11,Gujarat,31
2022-06-11,HARYANA,31
2022-06-11,HIMACHAL PRADESH,6
2022-06-11,JAMMU & KASHMIR,6
2022-06-11,JHARKHAND,5
2022-06-11,KARNATAKA,152
2022-06-11,KERALA,54
2022-06-11,LADAKH,1
2022-06-11,MADHYA PRADESH,23
2022-06-11,MAHARASHTRA,177
2022-06-11,MANIPUR,2
2022-06-11,MEGHALAYA,1
2022-06-11,New Delhi,1
2022-06-11,ODISHA,14
2022-06-11,PUDUCHERRY,4
2022-06-11,PUNJAB,12
2022-06-11,RAJASTHAN,29
2022-06-11,SIKKIM,1
2022-06-11,TAMIL NADU,101
2022-06-11,TELANGANA,94
2022-06-11,TRIPURA,2
2022-06-11,UTTAR PRADESH,77
2022-06-11,UTTARAKHAND,9
2022-06-11,WEST BENGAL,45
2022-06-12,ANDAMAN & NICOBAR,1
2022-06-12,ANDHRA PRADESH,68
2022-06-12,ARUNACHAL PRADESH,1
2022-06-12,ASSAM,14
2022-06-12,BIHAR,16
2022-06-12,CHANDIGARH,3
2022-06-12,CHHATTISGARH,8
2022-06-12,DADRA AND NAGAR,1
2022-06-12,DELHI,71
2022-06-12,Delhi,3
2022-06-12,GOA,11
2022-06-12,Gujarat,37
2022-06-12,HARYANA,36
2022-06-12,HIMACHAL PRADESH,8
2022-06-12,JAMMU & KASHMIR,5
2022-06-12,JHARKHAND,7
2022-06-12,KARNATAKA,170
2022-06-12,KERALA,56
2022-06-12,MADHYA PRADESH,37
2022-06-12,MAHARASHTRA,209
2022-06-12,MANIPUR,2
2022-06-12,MEGHALAYA,1
2022-06-12,NAGALAND,1
2022-06-12,New Delhi,1
2022-06-12,ODISHA,14
2022-06-12,Orissa,1
2022-06-12,PUDUCHERRY,5
2022-06-12,PUNJAB,22
2022-06-12,RAJASTHAN,17
2022-06-12,TAMIL NADU,99
2022-06-12,TELANGANA,110
2022-06-12,UTTAR PRADESH,84
2022-06-12,UTTARAKHAND,7
2022-06-12,WEST BENGAL,46
2022-06-13,ANDAMAN & NICOBAR,3
2022-06-13,ANDHRA PRADESH,55
2022-06-13,ARUNACHAL PRADESH,3
2022-06-13,ASSAM,18
2022-06-13,BIHAR,17
2022-06-13,CHANDIGARH,4
2022-06-13,CHHATTISGARH,7
2022-06-13,DELHI,53
2022-06-13,Delhi,1
2022-06-13,GOA,6
2022-06-13,Gujarat,32
2022-06-13,HARYANA,26
2022-06-13,HIMACHAL PRADESH,3
2022-06-13,JAMMU & KASHMIR,7
2022-06-13,JHARKHAND,8
2022-06-13,KARNATAKA,150
2022-06-13,KERALA,65
2022-06-13,MADHYA PRADESH,25
2022-06-13,MAHARASHTRA,171
2022-06-13,MEGHALAYA,5
2022-06-13,ODISHA,9
2022-06-13,Odisha,2
2022-06-13,PUDUCHERRY,2
2022-06-13,PUNJAB,15
2022-06-13,RAJASTHAN,22
2022-06-13,TAMIL NADU,86
2022-06-13,TELANGANA,108
2022-06-13,TRIPURA,1
2022-06-13,UTTAR PRADESH,63
2022-06-13,UTTARAKHAND,11
2022-06-13,WEST BENGAL,33
2022-06-13,delhi,1
2022-06-14,ANDAMAN & NICOBAR,3
2022-06-14,ANDHRA PRADESH,51
2022-06-14,ARUNACHAL PRADESH,1
2022-06-14,ASSAM,6
2022-06-14,BIHAR,14
2022-06-14,CHANDIGARH,5
2022-06-14,CHHATTISGARH,8
2022-06-14,DELHI,59
2022-06-14,Delhi,2
2022-06-14,GOA,4
2022-06-14,Gujarat,33
2022-06-14,HARYANA,45
2022-06-14,HIMACHAL PRADESH,3
2022-06-14,JAMMU & KASHMIR,8
2022-06-14,JHARKHAND,6
2022-06-14,KARNATAKA,170
2022-06-14,KERALA,54
2022-06-14,MADHYA PRADESH,19
2022-06-14,MAHARASHTRA,139
2022-06-14,MANIPUR,2
2022-06-14,MEGHALAYA,2
2022-06-14,MIZORAM,1
2022-06-14,NAGALAND,3
2022-06-14,ODISHA,18
2022-06-14,PUDUCHERRY,1
2022-06-14,PUNJAB,18
2022-06-14,Punjab,1
2022-06-14,RAJASTHAN,19
2022-06-14,Rajasthan,1
2022-06-14,TAMIL NADU,108
2022-06-14,TELANGANA,101
2022-06-14,TRIPURA,3
2022-06-14,UTTAR PRADESH,83
2022-06-14,UTTARAKHAND,10
2022-06-14,WEST BENGAL,47
2022-06-15,ANDAMAN & NICOBAR,2
2022-06-15,ANDHRA PRADESH,43
2022-06-15,ARUNACHAL PRADESH,2
2022-06-15,ASSAM,8
2022-06-15,BIHAR,12
2022-06-15,Bihar,1
2022-06-15,CHANDIGARH,2
2022-06-15,Chandigarh,1
2022-06-15,DELHI,45
2022-06-15,Delhi,5
2022-06-15,GOA,5
2022-06-15,Goa,1
2022-06-15,Gujarat,29
2022-06-15,HARYANA,34
2022-06-15,HIMACHAL PRADESH,7
2022-06-15,JAMMU & KASHMIR,3
2022-06-15,JHARKHAND,13
2022-06-15,KARNATAKA,143
2022-06-15,KERALA,44
2022-06-15,MADHYA PRADESH,22
2022-06-15,MAHARASHTRA,145
2022-06-15,MEGHALAYA,1
2022-06-15,NAGALAND,3
2022-06-15,New Delhi,1
2022-06-15,ODISHA,14
2022-06-15,PUDUCHERRY,2
2022-06-15,PUNJAB,12
2022-06-15,RAJASTHAN,19
2022-06-15,SIKKIM,1
2022-06-15,TAMIL NADU,68
2022-06-15,TELANGANA,97
2022-06-15,TRIPURA,1
2022-06-15,UTTAR PRADESH,69
2022-06-15,UTTARAKHAND,12
2022-06-15,WEST BENGAL,45
2022-06-16,ANDAMAN & NICOBAR,1
2022-06-16,ANDHRA PRADESH,37
2022-06-16,ASSAM,11
2022-06-16,BIHAR,18
2022-06-16,CHANDIGARH,2
2022-06-16,CHHATTISGARH,8
2022-06-16,DADRA AND NAGAR,2
2022-06-16,DELHI,50
2022-06-16,Delhi,2
2022-06-16,GOA,8
2022-06-16,Gujarat,30
2022-06-16,HARYANA,42
2022-06-16,HIMACHAL PRADESH,5
2022-06-16,JAMMU & KASHMIR,6
2022-06-16,JHARKHAND,9
2022-06-16,KARNATAKA,119
2022-06-16,KERALA,47
2022-06-16,LADAKH,1
2022-06-16,MADHYA PRADESH,22
2022-06-16,MAHARASHTRA,179
2022-06-16,MANIPUR,1
2022-06-16,MEGHALAYA,3
2022-06-16,NAGALAND,14
2022-06-16,ODISHA,15
2022-06-16,PUDUCHERRY,8
2022-06-16,PUNJAB,15
2022-06-16,Punjab,1
2022-06-16,RAJASTHAN,14
2022-06-16,Rajasthan,1
2022-06-16,TAMIL NADU,88
2022-06-16,TELANGANA,83
2022-06-16,UTTAR PRADESH,62
2022-06-16,UTTARAKHAND,10
2022-06-16,WEST BENGAL,40
2022-06-17,ANDAMAN & NICOBAR,3
2022-06-17,ANDHRA PRADESH,43
2022-06-17,ARUNACHAL PRADESH,1
2022-06-17,ASSAM,15
2022-06-17,BIHAR,18
2022-06-17,CHANDIGARH,3
2022-06-17,CHHATTISGARH,6
2022-06-17,DELHI,40
2022-06-17,Delhi,1
2022-06-17,GOA,11
2022-06-17,Gujarat,24
2022-06-17,HARYANA,24
2022-06-17,HIMACHAL PRADESH,4
2022-06-17,JAMMU & KASHMIR,2
2022-06-17,JHARKHAND,13
2022-06-17,KARNATAKA,115
2022-06-17,KERALA,43
2022-06-17,MADHYA PRADESH,22
2022-06-17,MAHARASHTRA,142
2022-06-17,MANIPUR,2
2022-06-17,MEGHALAYA,1
2022-06-17,NAGALAND,1
2022-06-17,New Delhi,1
2022-06-17,ODISHA,5
2022-06-17,PUDUCHERRY,4
2022-06-17,PUNJAB,15
2022-06-17,RAJASTHAN,16
2022-06-17,Rajasthan,1
2022-06-17,SIKKIM,1
2022-06-17,TAMIL NADU,74
2022-06-17,TELANGANA,67
2022-06-17,UTTAR PRADESH,70
2022-06-17,UTTARAKHAND,15
2022-06-17,WEST BENGAL,47
2022-06-18,ANDAMAN & NICOBAR,1
2022-06-18,ANDHRA PRADESH,32
2022-06-18,ARUNACHAL PRADESH,1
2022-06-18,ASSAM,6
2022-06-18,BIHAR,15
2022-06-18,CHANDIGARH,1
2022-06-18,CHHATTISGARH,3
2022-06-18,DELHI,39
2022-06-18,Delhi,2
2022-06-18,GOA,11
2022-06-18,Gujarat,28
2022-06-18,HARYANA,30
2022-06-18,HIMACHAL PRADESH,8
2022-06-18,JAMMU & KASHMIR,5
2022-06-18,JHARKHAND,4
2022-06-18,KARNATAKA,129
2022-06-18,KERALA,51
2022-06-18,LADAKH,1
2022-06-18,MADHYA PRADESH,15
2022-06-18,MAHARASHTRA,152
2022-06-18,MANIPUR,1
2022-06-18,MEGHALAYA,1
2022-06-18,ODISHA,13
2022-06-18,PUDUCHERRY,3
2022-06-18,PUNJAB,11
2022-06-18,RAJASTHAN,22
2022-06-18,TAMIL NADU,79
2022-06-18,TELANGANA,81
2022-06-18,UTTAR PRADESH,70
2022-06-18,UTTARAKHAND,6
2022-06-18,WEST BENGAL,37
2022-06-18,punjab,1
2022-06-19,ANDAMAN & NICOBAR,1
2022-06-19,ANDHRA PRADESH,36
2022-06-19,ASSAM,6
2022-06-19,BIHAR,19
2022-06-19,CHANDIGARH,2
2022-06-19,CHHATTISGARH,8
2022-06-19,Chandigarh,1
2022-06-19,DELHI,45
2022-06-19,GOA,8
2022-06-19,Gujarat,26
2022-06-19,HARYANA,23
2022-06-19,HIMACHAL PRADESH,5
2022-06-19,JAMMU & KASHMIR,5
2022-06-19,JHARKHAND,6
2022-06-19,KARNATAKA,102
2022-06-19,KERALA,35
2022-06-19,LADAKH,1
2022-06-19,MADHYA PRADESH,15
2022-06-19,MAHARASHTRA,168
2022-06-19,MANIPUR,2
2022-06-19,MEGHALAYA,1
2022-06-19,NAGALAND,1
2022-06-19,ODISHA,13
2022-06-19,PUDUCHERRY,2
2022-06-19,PUNJAB,9
2022-06-19,RAJASTHAN,23
2022-06-19,Rajasthan,1
2022-06-19,SIKKIM,2
2022-06-19,TAMIL NADU,80
2022-06-19,TELANGANA,65
2022-06-19,TRIPURA,1
2022-06-19,UTTAR PRADESH,75
2022-06-19,UTTARAKHAND,8
2022-06-19,WEST BENGAL,53
2022-06-20,ANDAMAN & NICOBAR,4
2022-06-20,ANDHRA PRADESH,54
2022-06-20,ASSAM,14
2022-06-20,BIHAR,6
2022-06-20,CHANDIGARH,1
2022-06-20,CHHATTISGARH,8
2022-06-20,DELHI,45
2022-06-20,Delhi,1
2022-06-20,GOA,10
2022-06-20,Gujarat,18
2022-06-20,HARYANA,26
2022-06-20,HIMACHAL PRADESH,1
2022-06-20,JAMMU & KASHMIR,16
2022-06-20,JHARKHAND,11
2022-06-20,KARNATAKA,120
2022-06-20,KERALA,50
2022-06-20,MADHYA PRADESH,15
2022-06-20,MAHARASHTRA,178
2022-06-20,NAGALAND,5
2022-06-20,New Delhi,1
2022-06-20,ODISHA,13
2022-06-20,PUDUCHERRY,2
2022-06-20,PUNJAB,9
2022-06-20,RAJASTHAN,18
2022-06-20,TAMIL NADU,88
2022-06-20,TELANGANA,94
2022-06-20,TRIPURA,1
2022-06-20,UTTAR PRADESH,57
2022-06-20,UTTARAKHAND,10
2022-06-20,WEST BENGAL,34
2022-06-21,ANDAMAN & NICOBAR,3
2022-06-21,ANDHRA PRADESH,43
2022-06-21,ASSAM,7
2022-06-21,BIHAR,16
2022-06-21,Bihar,2
2022-06-21,CHANDIGARH,2
2022-06-21,CHHATTISGARH,10
2022-06-21,DADRA AND NAGAR,1
2022-06-21,DELHI,28
2022-06-21,GOA,9
2022-06-21,Gujarat,31
2022-06-21,HARYANA,26
2022-06-21,HIMACHAL PRADESH,6
2022-06-21,JAMMU & KASHMIR,3
2022-06-21,JHARKHAND,10
2022-06-21,KARNATAKA,143
2022-06-21,KERALA,57
2022-06-21,MADHYA PRADESH,20
2022-06-21,MAHARASHTRA,164
2022-06-21,MEGHALAYA,2
2022-06-21,MIZORAM,1
2022-06-21,ODISHA,17
2022-06-21,PUDUCHERRY,3
2022-06-21,PUNJAB,16
2022-06-21,RAJASTHAN,19
2022-06-21,Rajasthan,1
2022-06-21,SIKKIM,2
2022-06-21,TAMIL NADU,91
2022-06-21,TELANGANA,82
2022-06-21,UTTAR PRADESH,53
2022-06-21,UTTARAKHAND,12
2022-06-21,WEST BENGAL,43
2022-06-21,delhi,1
2022-06-22,ANDAMAN & NICOBAR,2
2022-06-22,ANDHRA PRADESH,37
2022-06-22,ASSAM,6
2022-06-22,BIHAR,22
2022-06-22,CHHATTISGARH,16
2022-06-22,DELHI,43
2022-06-22,GOA,8
2022-06-22,Gujarat,39
2022-06-22,HARYANA,28
2022-06-22,HIMACHAL PRADESH,5
2022-06-22,JAMMU & KASHMIR,2
2022-06-22,JHARKHAND,9
2022-06-22,KARNATAKA,156
2022-06-22,KERALA,33
2022-06-22,MADHYA PRADESH,17
2022-06-22,MAHARASHTRA,170
2022-06-22,MANIPUR,1
2022-06-22,NAGALAND,1
2022-06-22,ODISHA,18
2022-06-22,PUDUCHERRY,1
2022-06-22,PUNJAB,15
2022-06-22,Punjab,1
2022-06-22,RAJASTHAN,23
2022-06-22,SIKKIM,3
2022-06-22,TAMIL NADU,83
2022-06-22,TELANGANA,86
2022-06-22,UTTAR PRADESH,75
2022-06-22,UTTARAKHAND,3
2022-06-22,WEST BENGAL,35
2022-06-22,rajsthan,1
2022-06-23,ANDAMAN & NICOBAR,1
2022-06-23,ANDHRA PRADESH,27
2022-06-23,ASSAM,11
2022-06-23,BIHAR,4
2022-06-23,CHANDIGARH,3
2022-06-23,CHHATTISGARH,5
2022-06-23,DELHI,30
2022-06-23,Delhi,2
2022-06-23,GOA,4
2022-06-23,Goa,1
2022-06-23,Gujarat,30
2022-06-23,HARYANA,28
2022-06-23,HIMACHAL PRADESH,5
2022-06-23,JAMMU & KASHMIR,2
2022-06-23,JHARKHAND,7
2022-06-23,KARNATAKA,100
2022-06-23,KERALA,41
2022-06-23,MADHYA PRADESH,12
2022-06-23,MAHARASHTRA,130
2022-06-23,MANIPUR,1
2022-06-23,MEGHALAYA,2
2022-06-23,MIZORAM,1
2022-06-23,NAGALAND,2
2022-06-23,ODISHA,7
2022-06-23,PUDUCHERRY,1
2022-06-23,PUNJAB,9
2022-06-23,RAJASTHAN,20
2022-06-23,SIKKIM,1
2022-06-23,TAMIL NADU,62
2022-06-23,TELANGANA,59
2022-06-23,UTTAR PRADESH,55
2022-06-23,UTTARAKHAND,9
2022-06-23,WEST BENGAL,27
2022-06-24,ANDHRA PRADESH,29
2022-06-24,ASSAM,7
2022-06-24,BIHAR,11
2022-06-24,CHANDIGARH,2
2022-06-24,CHHATTISGARH,3
2022-06-24,DELHI,28
2022-06-24,Delhi,2
2022-06-24,GOA,7
2022-06-24,Gujarat,34
2022-06-24,HARYANA,20
2022-06-24,HIMACHAL PRADESH,4
2022-06-24,JAMMU & KASHMIR,3
2022-06-24,JHARKHAND,6
2022-06-24,KARNATAKA,99
2022-06-24,KERALA,34
2022-06-24,MADHYA PRADESH,9
2022-06-24,MAHARASHTRA,109
2022-06-24,MANIPUR,1
2022-06-24,Manipur,1
2022-06-24,NAGALAND,1
2022-06-24,ODISHA,13
2022-06-24,PUNJAB,6
2022-06-24,RAJASTHAN,10
2022-06-24,SIKKIM,1
2022-06-24,Sikkim,1
2022-06-24,TAMIL NADU,54
2022-06-24,TELANGANA,61
2022-06-24,TRIPURA,1
2022-06-24,UTTAR PRADESH,45
2022-06-24,UTTARAKHAND,3
2022-06-24,WEST BENGAL,17
2022-06-25,ANDAMAN & NICOBAR,1
2022-06-25,ANDHRA PRADESH,28
2022-06-25,ARUNACHAL PRADESH,2
2022-06-25,ASSAM,10
2022-06-25,BIHAR,8
2022-06-25,CHANDIGARH,1
2022-06-25,CHHATTISGARH,4
2022-06-25,DELHI,28
2022-06-25,Delhi,2
2022-06-25,GOA,5
2022-06-25,Goa,1
2022-06-25,Gujarat,20
2022-06-25,HARYANA,21
2022-06-25,HIMACHAL PRADESH,5
2022-06-25,JHARKHAND,3
2022-06-25,KARNATAKA,88
2022-06-25,KERALA,48
2022-06-25,MADHYA PRADESH,9
2022-06-25,MAHARASHTRA,107
2022-06-25,MANIPUR,3
2022-06-25,MEGHALAYA,1
2022-06-25,ODISHA,14
2022-06-25,PUDUCHERRY,2
2022-06-25,PUNJAB,14
2022-06-25,RAJASTHAN,9
2022-06-25,TAMIL NADU,51
2022-06-25,TELANGANA,68
2022-06-25,UTTAR PRADESH,36
2022-06-25,UTTARAKHAND,3
2022-06-25,WEST BENGAL,28
2022-06-26,ANDAMAN & NICOBAR,1
2022-06-26,ANDHRA PRADESH,33
2022-06-26,ASSAM,7
2022-06-26,BIHAR,9
2022-06-26,CHANDIGARH,3
2022-06-26,CHHATTISGARH,3
2022-06-26,DADRA AND NAGAR,2
2022-06-26,DELHI,42
2022-06-26,GOA,10
2022-06-26,Gujarat,24
2022-06-26,HARYANA,24
2022-06-26,HIMACHAL PRADESH,6
2022-06-26,JAMMU & KASHMIR,4
2022-06-26,JHARKHAND,5
2022-06-26,KARNATAKA,89
2022-06-26,KERALA,43
2022-06-26,MADHYA PRADESH,10
2022-06-26,MAHARASHTRA,112
2022-06-26,NL,1
2022-06-26,ODISHA,11
2022-06-26,PUDUCHERRY,1
2022-06-26,PUNJAB,8
2022-06-26,RAJASTHAN,11
2022-06-26,TAMIL NADU,78
2022-06-26,TELANGANA,63
2022-06-26,UTTAR PRADESH,44
2022-06-26,UTTARAKHAND,9
2022-06-26,WEST BENGAL,18
2022-06-27,ANDHRA PRADESH,22
2022-06-27,ARUNACHAL PRADESH,1
2022-06-27,ASSAM,7
2022-06-27,BIHAR,10
2022-06-27,CHANDIGARH,1
2022-06-27,CHHATTISGARH,2
2022-06-27,DELHI,35
2022-06-27,GOA,4
2022-06-27,Gujarat,21
2022-06-27,HARYANA,22
2022-06-27,HIMACHAL PRADESH,4
2022-06-27,JAMMU & KASHMIR,4
2022-06-27,JHARKHAND,4
2022-06-27,KARNATAKA,85
2022-06-27,KERALA,32
2022-06-27,MADHYA PRADESH,6
2022-06-27,MAHARASHTRA,98
2022-06-27,NAGALAND,1
2022-06-27,ODISHA,7
2022-06-27,PUNJAB,7
2022-06-27,RAJASTHAN,10
2022-06-27,SIKKIM,1
2022-06-27,TAMIL NADU,46
2022-06-27,TELANGANA,63
2022-06-27,TRIPURA,1
2022-06-27,UTTAR PRADESH,42
2022-06-27,UTTARAKHAND,6
2022-06-27,WEST BENGAL,23
2022-06-27,delhi,1
2022-06-28,ANDAMAN & NICOBAR,1
2022-06-28,ANDHRA PRADESH,25
2022-06-28,ASSAM,9
2022-06-28,BIHAR,5
2022-06-28,CHANDIGARH,1
2022-06-28,CHHATTISGARH,3
2022-06-28,DELHI,35
2022-06-28,Delhi,1
2022-06-28,GOA,6
2022-06-28,Gujarat,23
2022-06-28,HARYANA,16
2022-06-28,HIMACHAL PRADESH,5
2022-06-28,JAMMU & KASHMIR,1
2022-06-28,JHARKHAND,7
2022-06-28,KARNATAKA,91
2022-06-28,KERALA,41
2022-06-28,MADHYA PRADESH,8
2022-06-28,MAHARASHTRA,91
2022-06-28,MANIPUR,1
2022-06-28,ODISHA,11
2022-06-28,PUDUCHERRY,2
2022-06-28,PUNJAB,7
2022-06-28,RAJASTHAN,9
2022-06-28,SIKKIM,1
2022-06-28,TAMIL NADU,60
2022-06-28,TELANGANA,59
2022-06-28,TRIPURA,1
2022-06-28,UTTAR PRADESH,44
2022-06-28,UTTARAKHAND,4
2022-06-28,WEST BENGAL,22
2022-06-29,ANDHRA PRADESH,6
2022-06-29,ASSAM,2
2022-06-29,BIHAR,3
2022-06-29,DELHI,9
2022-06-29,GOA,1
2022-06-29,Gujarat,5
2022-06-29,HARYANA,6
2022-06-29,JHARKHAND,1
2022-06-29,KARNATAKA,27
2022-06-29,KERALA,4
2022-06-29,MADHYA PRADESH,2
2022-06-29,MAHARASHTRA,30
2022-06-29,ODISHA,3
2022-06-29,PUDUCHERRY,1
2022-06-29,PUNJAB,1
2022-06-29,TAMIL NADU,24
2022-06-29,TELANGANA,16
2022-06-29,TRIPURA,1
2022-06-29,UTTAR PRADESH,10
2022-06-29,UTTARAKHAND,1
2022-06-29,WEST BENGAL,4
